paper_id,TAM,UTAUT,STS,TOE,RBV,Dynamic_Capabilities,IDT,Stakeholder_Theory,Just_Digital,dominant_dt_theory,SDG6_Water,SDG7_Energy,dominant_sdg,sdg_margin,method,outcome,outcomes_all
SDG7-137,0.13708542,0.08242061,0.14056954,0.10318549,0.10087849,0.18172866,0.049248457,-0.059343327,-0.060159177,Dynamic_Capabilities,0.1306193,0.3896441,SDG7_Energy,-0.2590248,sem,access,access|efficiency|quality
SDG7-160,0.25291753,0.27077156,0.23613268,0.28693658,0.26540795,0.21146917,0.2866869,0.068563655,0.18806595,TOE,0.18126753,0.1109916,SDG6_Water,0.07027593,unknown,access,access|efficiency|governance|sustainability|resilience|productivity|quality|equity
SDG7-119,0.28084344,0.19432597,0.2309309,0.27829736,0.20883426,0.24999541,0.12647107,0.20404953,0.122095525,TAM,0.08789797,0.08306061,SDG6_Water,0.004837364,sem,access,access|efficiency|quality
SDG7-59,0.07476266,0.15585518,0.15884832,0.2605125,0.3118353,0.2866829,0.20051222,0.31890804,0.051595137,Stakeholder_Theory,0.14443284,0.3706354,SDG7_Energy,-0.22620255,unknown,access,access|efficiency|governance|sustainability|resilience|quality|equity
SDG7-206,0.28893107,0.24865346,0.16555342,0.21699432,0.31290787,0.2494987,0.26281193,0.04631547,0.12386373,RBV,0.15960856,0.33207458,SDG7_Energy,-0.17246602,sem,access,access|efficiency|governance|sustainability|quality
SDG7-41,0.28113312,0.32475084,0.1447435,0.36972013,0.2301311,0.30740395,0.43828705,0.2785317,0.13355404,IDT,0.24998188,0.27653235,SDG7_Energy,-0.026550472,regression,access,access|efficiency|governance|resilience|quality
SDG7-121,0.27319375,0.31603092,0.2675534,0.31597036,0.3751442,0.34156892,0.35038167,0.07985723,0.11053608,RBV,0.067783296,0.11249836,SDG7_Energy,-0.04471506,sem,access,access|efficiency|governance|sustainability|resilience|quality
SDG7-62,0.12456715,0.18708801,0.24255055,0.13635755,0.18599461,0.24634036,0.101812586,0.0740607,-0.025551807,Dynamic_Capabilities,0.13327442,0.32770592,SDG7_Energy,-0.1944315,sem,access,access|efficiency|governance|sustainability|resilience|quality
SDG7-220,0.20047952,0.26206303,0.20621593,0.28109372,0.6287416,0.4023505,0.31214505,0.21263656,0.050126094,RBV,0.047676478,0.29642677,SDG7_Energy,-0.2487503,sem,access,access|efficiency|governance|sustainability|productivity|quality
SDG7-89,0.08274831,0.15732937,0.1123143,0.23362625,0.29024372,0.2868335,0.2775853,0.23274054,-0.04717549,RBV,0.12853661,0.46194983,SDG7_Energy,-0.3334132,case study,access,access|efficiency|sustainability|resilience|quality|equity
SDG7-226,0.04534366,0.027902175,0.0500184,0.030001465,0.10630472,0.20393088,0.076506585,0.042594437,-0.008303478,Dynamic_Capabilities,0.15841775,0.51874,SDG7_Energy,-0.36032224,review,access,access|efficiency|sustainability|resilience|quality
SDG7-30,0.27289933,0.17477912,0.29422292,0.3103946,0.24455774,0.41852975,0.29082978,0.15372837,0.14198788,Dynamic_Capabilities,0.1561636,0.22569187,SDG7_Energy,-0.06952827,regression,access,access|efficiency|sustainability|resilience
SDG7-72,-0.012497891,-0.06311979,0.055281192,-0.00020845048,0.051785145,0.064704336,-0.12745781,-0.009233123,-0.104711294,Dynamic_Capabilities,0.079723515,0.25584915,SDG7_Energy,-0.17612565,unknown,access,access|efficiency|governance|sustainability|resilience|quality|inequality
SDG7-148,0.35137975,0.28517127,0.28461313,0.31105655,0.25077233,0.28703153,0.2543178,0.06783118,0.09168178,TAM,0.21215925,0.33195657,SDG7_Energy,-0.11979732,sem,access,access|efficiency|governance|sustainability
SDG7-58,0.2046097,0.3177449,0.1533169,0.19972572,0.48121178,0.24328133,0.27747172,0.07415502,0.042403772,RBV,-0.010882645,0.017255677,SDG7_Energy,-0.02813832,sem,efficiency,efficiency|quality
SDG7-177,0.3522912,0.3089983,0.29476726,0.4375971,0.59790176,0.40435612,0.35617125,0.17287445,0.15495728,RBV,0.09283065,0.09570275,SDG7_Energy,-0.002872102,regression,access,access|efficiency|quality|equity
SDG7-102,0.28607485,0.3603288,0.299218,0.3640356,0.5642936,0.2790277,0.38022918,0.17119867,0.17822409,RBV,0.11646383,0.09558097,SDG6_Water,0.02088286,sem,access,access|efficiency|productivity|quality
SDG7-90,0.2731936,0.31603086,0.26755342,0.3159704,0.37514418,0.34156895,0.3503816,0.07985722,0.11053608,RBV,0.067783296,0.11249836,SDG7_Energy,-0.04471506,sem,access,access|efficiency|governance|sustainability|resilience|quality
SDG7-73,0.11868655,0.12544687,0.20898949,0.14067253,0.22742756,0.2730244,0.022614464,0.094169416,-0.028385254,Dynamic_Capabilities,0.15907219,0.1313453,SDG6_Water,0.027726889,unknown,access,access|efficiency|sustainability|productivity
SDG7-159,0.21884055,0.20855473,0.08338581,0.24672529,0.221419,0.2297607,0.20781323,0.2115455,0.034625962,TOE,0.17130493,0.36526632,SDG7_Energy,-0.1939614,unknown,access,access|efficiency|sustainability|quality
SDG7-91,0.28098214,0.17992407,0.21173549,0.29161534,0.24071693,0.3902042,0.3190646,0.11634685,0.12067454,Dynamic_Capabilities,0.17828083,0.45098856,SDG7_Energy,-0.27270773,unknown,access,access|efficiency|governance|sustainability|resilience|productivity|quality
